CONTROL,KAMG_fl,Blue,Green,Red,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,NDVI,VH,VV,C,predicted
3:129:6,290,0.08884590451267793,0.0713832004231981,0.05151252041023116,0.07259310158930128,0.14408245571129968,0.16946417040134612,0.16393880956576046,0.18598000476462173,0.11201626463625297,0.0561598797615458,0.5220242224115753,-14.751870147765928,-10.426727503382823,79.63192694026083,93.65382884828554
5:49:36,290,0.08281481562993505,0.06574109618615866,0.04273805128114037,0.06431871844894844,0.1576344380202877,0.19198401666067477,0.185058486641493,0.2108188006455724,0.08931259636389421,0.038753637932057605,0.6240976623520474,-14.923659359025553,-10.701613199888072,82.95166031254966,101.65384938723466
6:101:16,290,0.08806398031881665,0.0716813898095803,0.05141631857177132,0.0742043346549406,0.15622667926471204,0.18634250414691036,0.18076353306310766,0.2050081759371344,0.11731557196889827,0.056281403840187594,0.5534790669729971,-14.564790387378636,-10.143119847625579,80.60028231627948,97.33619258481498
6:58:2,290,0.09103381968340366,0.07389967775408873,0.055891693663378934,0.07690381719266731,0.1493558151964804,0.1760757469871541,0.17104899698535012,0.1956763551873354,0.12214516012858452,0.0614507171786408,0.5071965898949221,-15.180843827026788,-10.581503900640605,77.18323227466698,89.56718112082478
6:169:5,290,0.09632499918596621,0.08210197791314953,0.06605973949183357,0.09086102397962456,0.17770778113521435,0.21163517380771102,0.20485438394636712,0.23654450442471237,0.1540553691067175,0.08729905742972419,0.5212555977667223,-15.047409256711747,-10.365222698121197,82.90124730159663,76.79339690402362
7:149:13,290,0.08519077180473712,0.06847607944512184,0.046366451746539715,0.07018025258534114,0.15747909505099672,0.1889644528190514,0.18538653504540945,0.20885090391959313,0.11087564239932386,0.04967361992349253,0.5985269492646774,-15.414474390523212,-10.678640683954805,80.18275201630661,94.30430952130058
7:83:14,290,0.09014299991293188,0.07270781730627589,0.05172189190662623,0.07609286015024086,0.16026025062916294,0.1903065929064506,0.18503028294172966,0.21172720140086496,0.12283215511674961,0.056303110484545,0.5630842428401547,-15.167213746444554,-10.590872309525002,79.73869793453493,99.62618967533314
7:200:11,290,0.08905592808140579,0.07233474466903826,0.04897800756940093,0.07244266237020207,0.170962562636929,0.2041808376515141,0.2023365807539851,0.22529824419087666,0.10754229962757551,0.04792745894054611,0.6099439131221341,-14.789261788915239,-10.622279716884327,75.55344415770634,94.08886655282076
1:251:6,370,0.08736434067553385,0.07123126485335611,0.050604726208684905,0.07485245758317247,0.16365847273504014,0.19766064643644043,0.19234275301737205,0.21986456311275898,0.11798213803691096,0.05543475131671759,0.5825032801067055,-14.614138568711143,-10.180675701036433,99.13125507493682,110.24075526089472
1:76:34,370,0.08454656659713128,0.06789382054691448,0.04863380113464648,0.0702465021837885,0.14710850693184388,0.17614100561780785,0.17056705493678753,0.19536932238978882,0.1121837920552854,0.05350892925084632,0.555520198581748,-15.053513000576455,-10.51160061330016,92.95934917690307,107.65832545811149
