ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
2:407:25,PISY,30,90,0.6,14,11,2,17.7652202007062,2.35634683564358,1.72116914679835,6.0442605680685,0.299676871349382,0.285432403040316,2.35678237917461,0.601451824487135,0.850309867183784,6.4000511360578
3:43:46,PISY,40,190,0.8,16,15,2,38.7504003810244,3.44558657968448,2.34703233701798,11.6713397783448,0.178128389920086,0.44013032507235,2.63434788458618,0.699923733881567,1.83812068595187,8.96766550094186
7:136:3,PISY,30,50,0.6,14,7,1,9.82094128764005,1.2807714771612,0.831108236726814,3.03983370476024,0.293233597602298,0.324106329528147,3.20334375961262,0.419331724177137,0.762275470867813,5.17323201483468
7:119:6,PISY,5,5,0.6,2,1.299999952,1,0.710528849496762,1.47829761762045,1.04116459710566,0.444700764878028,0.0976395335139017,0.00404133454482117,0.495097703133424,0.067927754648094,1.9799845843979e-4,5.26510263443204
7:205:5,PISY,18,70,0.9,8,7,2,12.9624640753881,2.98530205312264,2.28239570068826,5.0351831897756,0.0850459562871208,0.0658708640506042,1.58575569604649,0.30500053777451003,0.234432846297845,9.30729427056993
2:326:48,PISY,30,120,0.6,16,12,3,23.7885183704808,3.20186450709328,2.59125769137818,8.78459039337589,0.305372616695476,0.255682210263426,2.73133262063762,0.666137902520067,0.934745771381753,9.03375522764715
7:12:27,PISY,35,150,0.6,18,16,4,30.3267248400259,3.46383891971379,2.96060060431212,11.4814884153573,0.337466733437525,0.324076389439233,2.69571603297925,0.862576505930271,1.30308476845829,9.04932805991203
2:297:13,PISY,40,180,0.7,16,14,2,36.6148245884545,3.40517584479388,2.34517971986035,11.1905645325753,0.245061193668729,0.485382322119971,2.61675693643367,0.703173456244929,1.71322056934986,9.28519302130817
4:191:20,PISY,40,200,0.7,22,18,3,40.8575678354458,3.85586688432727,2.94226601631822,13.5534259570491,0.249718897638549,0.434791648111861,3.61084264859165,0.929060329030928,1.88334364265103,8.71212136039302
1:48:41,PISY,32,160,0.8,16,14,1,31.8333979575445,3.53801219037874,2.2723803497086,9.30866316375468,0.154959888613016,0.311681465502932,2.76069325896738,0.662430115370694,1.30069786663171,6.70906390468899
2:133:6,PISY,20,45,0.55,10,6,1,8.34990655669376,1.88747292517262,1.27807637696354,3.01394821439871,0.282374085553795,0.132743357182802,2.04101939914361,0.354996686706067,0.175387928691727,5.82948135821435
2:51:3,PISY,32,50,0.7,10,6,1,9.92190078171108,1.15336513566316,0.748978238109369,2.94408074290392,0.213186989964462,0.343726993732367,2.24825727867297,0.318718738641366,1.21231557680281,6.47720150912705
4:265:16,PISY,30,120,0.5,16,14,1,23.4777135818822,3.15690938870212,1.94860534340193,7.50338861631911,0.438305519081714,0.34468902488812603,2.28647281260247,0.8173003790754,0.371198650716564,5.03179792851674
6:54:19,PISY,20,50,0.7,6,6,1,9.32446831002262,1.99424833273318,1.39792491493765,3.2450781079139,0.163245832546307,0.118157451866752,1.02010762182674,0.281225471983354,0.335728428276744,6.74049220604908
