OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
1006,2:185:12,1006,349,34900,-9.368392446422186
1007,2:185:11,1007,183,18300,-9.97265715212139
1008,2:185:24,1008,496,49600,-10.335985379621118
1009,2:185:42,1009,149,14900,-8.515656482099656
1010,2:185:23,1010,225,22500,-9.346142995139079
1011,2:185:6,1011,426,42600,-8.501526112355513
1012,2:185:32,1012,281,28100,-10.388554743523379
1013,2:185:22,1013,305,30500,-10.455945067376069
1014,2:185:20,1014,58,5800,-6.408112541345551
1015,2:185:21,1015,271,27100,-8.809060660243025
1016,2:185:31,1016,416,41600,-3.030089244214646
1017,2:185:10,1017,558,55800,-6.510312363189067
1018,2:185:33,1018,614,61400,-5.465426280817118
1019,2:185:5,1019,239,23900,-11.170277101175461
1020,2:185:39,1020,666,66600,-6.556898676322856
1021,2:185:28,1021,100,10000,-12.04356907198133
1022,2:185:19,1022,157,15700,-9.003154898094664
1023,2:185:38,1023,128,12800,-5.672877850397935
1024,2:185:37,1024,233,23300,-6.876498225082357
1025,2:185:4,1025,153,15300,-8.932028296285045
1026,2:185:9,1026,706,70600,-9.506889317502775
1027,2:185:27,1027,251,25100,-10.439447790370165
1028,2:185:18,1028,922,92200,-9.77930909562363
1029,2:185:17,1029,108,10800,-5.629733250235143
1030,2:185:16,1030,206,20600,-6.766572524134528
1031,2:185:3,1031,65,6500,-4.424461527089237
1032,2:185:8,1032,314,31400,-8.127583553337546
1033,2:185:2,1033,252,25200,-8.941111949560263
1034,2:185:1,1034,47,4700,-4.516413784627829
1035,2:185:41,1035,84,8400,-1.831332914418816
1036,2:185:29,1036,89,8900,-11.83684655562493
1037,2:172:4,1037,193,19300,-3.820564558904142
1038,2:172:7,1038,212,21200,-7.985611240845355
1039,2:172:3,1039,111,11100,-8.05590185982551
1040,2:172:11,1040,1165,116500,-6.358298843704216
1041,2:172:2,1041,353,35300,-6.816474604836579
1042,2:172:13,1042,1136,113600,-4.559511995466288
1043,2:172:1,1043,248,24800,-13.479268353358897
1044,2:172:9,1044,203,20300,-6.106792404608831
1045,2:201:7,1045,53,5300,-1.817700463856136
1046,2:201:10,1046,541,54100,-5.833092278414908
1047,2:201:4,1047,34,3400,-6.199326514802465
1048,2:201:9,1048,847,84700,-7.230861495882086
1049,2:201:14,1049,299,29900,-6.259918312330845
1050,2:201:8,1050,202,20200,-4.974315041980439
1051,2:201:2,1051,27,2700,-4.356188026769757
1052,2:201:1,1052,47,4700,-7.627585682430681
1053,2:201:3,1053,2437,243700,-7.349182965370721
1054,2:138:1,1054,1006,100600,-12.545763665450941
1055,2:138:29,1055,105,10500,-4.000409931758108
1056,2:138:2,1056,545,54500,-6.500439199030196
1057,2:138:3,1057,193,19300,-6.767660656071563
1058,2:138:38,1058,47,4700,-13.681759373694902
