OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
2477,6:73:21,2477,85,8500,-9.888733081729185
2478,6:73:9,2478,215,21500,-11.106638234106002
2479,6:73:8,2479,80,8000,-11.496088374725314
2480,6:73:4,2480,599,59900,-11.123742884974794
2481,6:73:6,2481,424,42400,-10.56537437762503
2482,6:73:7,2482,294,29400,-10.808628091052249
2483,6:73:18,2483,276,27600,-10.502419606142432
2484,6:73:13,2484,230,23000,-10.634490027596186
2485,6:73:14,2485,114,11400,-10.421752089454351
2486,6:73:17,2486,247,24700,-10.367188869904592
2487,6:73:19,2487,40,4000,-10.681427338064193
2488,6:73:20,2488,55,5500,-10.307180776559418
2489,6:153:3,2489,735,73500,-10.200270852575107
2490,6:57:1,2490,429,42900,-10.55920050163204
2491,6:72:7,2491,729,72900,-10.635807087001067
2492,6:72:8,2492,122,12200,-11.295696258047238
2493,6:57:27,2493,66,6600,-10.091178935598487
2494,6:57:20,2494,684,68400,-10.45020688804184
2495,6:57:19,2495,411,41100,-10.450268190704016
2496,6:57:23,2496,54,5400,-10.562346557205885
2497,6:57:25,2497,73,7300,-10.286419402330697
2498,6:57:13,2498,122,12200,-9.821191169227959
2499,6:57:5,2499,844,84400,-9.459542933946992
2500,6:57:8,2500,373,37300,-10.773633202680488
2501,6:57:6,2501,417,41700,-10.620330232284951
2502,6:58:4,2502,601,60100,-10.390367005851239
2503,6:58:3,2503,464,46400,-10.518731513111309
2504,6:58:2,2504,236,23600,-10.57391128391495
2505,6:58:5,2505,787,78700,-10.580001681746275
2506,6:58:8,2506,215,21500,-10.71598047341221
2507,6:58:9,2507,163,16300,-10.772474183492196
2508,6:58:11,2508,393,39300,-10.067416199620796
2509,6:58:15,2509,484,48400,-10.773305707619095
2510,6:58:13,2510,284,28400,-10.388252929635069
2511,6:58:10,2511,321,32100,-10.30741164936572
2512,6:58:14,2512,109,10900,-10.548181138943256
2513,6:58:23,2513,78,7800,-10.94070662610331
2514,6:58:22,2514,287,28700,-10.336229992833395
2515,6:58:20,2515,361,36100,-10.442946155712677
2516,6:58:19,2516,192,19200,-10.582776383795949
2517,6:57:17,2517,109,10900,-10.619283630389145
2518,6:57:10,2518,446,44600,-10.57846268403173
2519,6:57:9,2519,77,7700,-10.190240456886382
2520,6:56:30,2520,553,55300,-10.535326995282183
2521,6:56:28,2521,114,11400,-10.9167100547675
2522,6:56:29,2522,1687,168700,-10.406593305433956
2523,6:56:22,2523,145,14500,-10.71448881461268
2524,6:56:23,2524,1278,127800,-10.359422643212199
2525,6:56:20,2525,651,65100,-10.302345056231498
2526,6:56:19,2526,179,17900,-10.990936161611856
2527,6:56:18,2527,170,17000,-11.020477997887863
2528,6:56:17,2528,127,12700,-10.774802136511555
2529,6:56:21,2529,123,12300,-11.247711457544796
2530,6:56:33,2530,620,62000,-10.510478633438694
2531,6:57:29,2531,262,26200,-10.34172436969849
2532,6:58:7,2532,114,11400,-10.503904410419866
2533,6:90:18,2533,162,16200,-11.061041977201944
2534,6:90:19,2534,544,54400,-10.5582356120206
2535,6:34:14,2535,894,89400,-10.560476616802642
2536,6:34:16,2536,108,10800,-10.128654100545337
2537,6:34:19,2537,126,12600,-10.419860655628824
2538,6:35:15,2538,128,12800,-10.45282915998634
2539,6:35:17,2539,170,17000,-10.186307243103002
2540,6:35:21,2540,229,22900,-10.515198202645864
2541,6:35:19,2541,541,54100,-10.257548207130872
2542,6:35:25,2542,92,9200,-10.700848308383927
2543,6:35:22,2543,193,19300,-10.358019059900165
2544,6:35:23,2544,26,2600,-10.416335925920592
2545,6:35:24,2545,521,52100,-10.26711736217526
2546,6:36:24,2546,475,47500,-10.473914155008128
2547,6:36:29,2547,263,26300,-10.426468999755627
2548,6:36:22,2548,734,73400,-10.445874985919145
2549,6:36:21,2549,56,5600,-11.109450462004428
2550,6:36:18,2550,127,12700,-10.943365174625978
2551,6:36:12,2551,184,18400,-10.494427023561201
2552,6:56:11,2552,166,16600,-10.421608199662261
2553,6:74:27,2553,151,15100,-10.975709456778096
2554,6:92:12,2554,1508,150800,-10.409265823599998
2555,6:125:7,2555,1511,151100,-10.5202627590228
2556,6:125:5,2556,732,73200,-10.617641327128464
2557,6:125:9,2557,173,17300,-10.275042012680318
2558,6:125:8,2558,52,5200,-10.539273332573377
2559,6:125:4,2559,218,21800,-10.864988714071645
2560,6:125:3,2560,190,19000,-10.917214343603778
2561,6:125:2,2561,46,4600,-10.897625018259635
2562,6:125:10,2562,50,5000,-10.060165657804811
2563,6:125:11,2563,385,38500,-10.376779839330453
